Marca temporal,Color primario favorito,Edad en años (numérica),Estatura en metros (numérica),Peso en kg (numérica),Tipo de personalidad,Número de vasos de agua que tomas al día (numérico),¿Día o noche?,Actividad física,Mascota favorita,¿Chile del que pica o del que no pica?,Número de hermanos (numérica),¿Las quesadillas van con queso?,Número de tatuajes (numérica),¿Team frío o team calor?
3/16/2024 10:04:42,Azul,29,1.92,107,Introvertido,6,Noche,¿Qué es eso?,Perrro,Del que pica,2,Con queso,0,
3/16/2024 10:04:42,Azul,26,1.57,58,Introvertido,5,Noche,¿Qué es eso?,Perrro,Del que pica,0,Con queso,0,
3/16/2024 10:04:49,Azul,25,1.71,78,Introvertido,3,Noche,Si,Perrro,Del que pica,1,Con queso,0,
3/16/2024 10:04:51,Rojo,27,1.78,87,Introvertido,4,Noche,¿Qué es eso?,Perrro,Del que pica,1,Sin queso,0,
3/16/2024 10:04:56,Azul,23,1.7,76,Introvertido,4,Noche,Si,Gato,Del que no pica,2,Con queso,0,
3/16/2024 10:04:57,Amarillo,25,1.56,57,Extrovertido,15,Noche,Si,Gato,Del que pica,2,Con queso,2,
3/16/2024 10:04:57,Azul,38,1.76,85,Introvertido,4,Noche,¿Qué es eso?,Gato,Del que pica,4,Sin queso,0,
3/16/2024 10:05:01,Azul,27,1.6,63,Introvertido,5,Noche,¿Qué es eso?,Gato,Del que pica,1,Con queso,0,
3/16/2024 10:05:06,Azul,23,1.64,,Extrovertido,8,Noche,Si,Gato,Del que pica,4,Con queso,0,
3/16/2024 10:05:10,Rojo,24,1.6,63,Extrovertido,8,Día,¿Qué es eso?,Perrro,Del que no pica,1,Sin queso,0,
3/16/2024 10:05:10,Rojo,25,1.7,76,Introvertido,7,Noche,Si,Perrro,Del que pica,1,Con queso,0,
3/16/2024 10:05:11,Azul,28,1.8,90,Extrovertido,4,Día,¿Qué es eso?,Perrro,Del que pica,4,Con queso,0,
3/16/2024 10:05:12,Rojo,23,1.7,76,Introvertido,7,Día,Si,Gato,Del que pica,2,Con queso,2,
3/16/2024 10:05:16,Azul,27,1.65,69,Introvertido,4,Noche,Si,Perrro,Del que no pica,2,Con queso,1,
3/16/2024 10:06:22,Azul,24,1.72,79,Introvertido,7,Noche,Si,Perrro,Del que pica,1,Con queso,0,Team frío
3/16/2024 10:06:40,Rojo,24,1.71,78,Introvertido,2,Noche,Si,Perrro,Del que pica,1,Con queso,0,Team frío
3/16/2024 10:06:40,Azul,29,1.92,107,Introvertido,6,Noche,¿Qué es eso?,Perrro,Del que no pica,2,Con queso,0,Team frío
3/16/2024 10:06:41,Rojo,23,1.7,76,Introvertido,7,Día,Si,Gato,Del que pica,2,Con queso,2,Team frío
3/16/2024 10:06:42,Azul,22,1.61,66,Extrovertido,10,Noche,Si,Perrro,Del que no pica,3,Con queso,3,Team frío
3/16/2024 10:06:43,Azul,31,1.8,90,Extrovertido,12,Día,Si,Perrro,Del que no pica,1,Con queso,0,Team frío
3/16/2024 10:06:43,Azul,23,1.64,65,Extrovertido,8,Noche,Si,Gato,Del que pica,4,Con queso,0,Team frío
3/16/2024 10:06:45,Rojo,25,1.7,76,Introvertido,7,Noche,Si,Perrro,Del que pica,1,Con queso,0,Team frío
